name,mac,chip,flash,wled_version,release,ui_version,wifi_ssid,ap_ssid,url,flashed_at
"lichtnest-01","70:4B:CA:41:77:60","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-01","http://lichtnest-01.local","29.7.2026, 17:53:35 MESZ"
"lichtnest-02","A4:F0:0F:91:67:64","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-02","http://lichtnest-02.local","29.7.2026, 18:06:00 MESZ"
"lichtnest-03","1C:C3:AB:A1:07:90","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-03","http://lichtnest-03.local","29.7.2026, 19:01:06 MESZ"
"lichtnest-04","70:4B:CA:41:5F:48","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-04","http://lichtnest-04.local","29.7.2026, 19:10:23 MESZ"
"lichtnest-05","70:4B:CA:41:65:DC","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-05","http://lichtnest-05.local","29.7.2026, 19:27:02 MESZ"
"lichtnest-06","70:4B:CA:41:5A:08","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-06","http://lichtnest-06.local","29.7.2026, 19:34:20 MESZ"
"lichtnest-07","70:4B:CA:41:43:24","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-07","http://lichtnest-07.local","29.7.2026, 19:43:15 MESZ"
"lichtnest-08","B0:CB:D8:E1:94:3C","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-08","http://lichtnest-08.local","29.7.2026, 20:10:18 MESZ"
"lichtnest-09","70:4B:CA:41:74:B0","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-09","http://lichtnest-09.local","29.7.2026, 20:16:38 MESZ"
"lichtnest-10","A4:F0:0F:91:7C:9C","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-10","http://lichtnest-10.local","29.7.2026, 20:23:10 MESZ"
"lichtnest-11","04:B2:47:84:88:B0","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-11","http://lichtnest-11.local","29.7.2026, 20:30:55 MESZ"
"lichtnest-12","70:4B:CA:41:61:8C","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-12","http://lichtnest-12.local","29.7.2026, 20:39:15 MESZ"
"lichtnest-13","48:9D:31:C6:F4:60","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-13","http://lichtnest-13.local","29.7.2026, 20:45:54 MESZ"
"lichtnest-14","48:9D:31:C5:DA:3C","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-14","http://lichtnest-14.local","29.7.2026, 21:04:39 MESZ"
"lichtnest-15","48:9D:31:C5:A6:FC","ESP32-D0WD-V3","4MB","2605010","ESP32_Ethernet","0.11.0","lichtnest-master","lichtnest-15","http://lichtnest-15.local","29.7.2026, 21:11:13 MESZ"
