id,name,mdns,ap_ssid,host
01,Lichtnest 01,lichtnest-01,Lichtnest-01,http://4.3.2.1
02,Lichtnest 02,lichtnest-02,Lichtnest-02,http://4.3.2.1
03,Lichtnest 03,lichtnest-03,Lichtnest-03,http://4.3.2.1
04,Lichtnest 04,lichtnest-04,Lichtnest-04,http://4.3.2.1
05,Lichtnest 05,lichtnest-05,Lichtnest-05,http://4.3.2.1
06,Lichtnest 06,lichtnest-06,Lichtnest-06,http://4.3.2.1
07,Lichtnest 07,lichtnest-07,Lichtnest-07,http://4.3.2.1
08,Lichtnest 08,lichtnest-08,Lichtnest-08,http://4.3.2.1
09,Lichtnest 09,lichtnest-09,Lichtnest-09,http://4.3.2.1
10,Lichtnest 10,lichtnest-10,Lichtnest-10,http://4.3.2.1
11,Lichtnest 11,lichtnest-11,Lichtnest-11,http://4.3.2.1
12,Lichtnest 12,lichtnest-12,Lichtnest-12,http://4.3.2.1
13,Lichtnest 13,lichtnest-13,Lichtnest-13,http://4.3.2.1
14,Lichtnest 14,lichtnest-14,Lichtnest-14,http://4.3.2.1
15,Lichtnest 15,lichtnest-15,Lichtnest-15,http://4.3.2.1
16,Lichtnest 16,lichtnest-16,Lichtnest-16,http://4.3.2.1
17,Lichtnest 17,lichtnest-17,Lichtnest-17,http://4.3.2.1
18,Lichtnest 18,lichtnest-18,Lichtnest-18,http://4.3.2.1
19,Lichtnest 19,lichtnest-19,Lichtnest-19,http://4.3.2.1
20,Lichtnest 20,lichtnest-20,Lichtnest-20,http://4.3.2.1
